forward_sorting_area,licenses_issued
M1B,345
M1C,460
M1E,635
M1G,265
M1H,205
M1J,280
M1K,466
M1L,330
M1M,307
M1N,485
M1P,325
M1R,266
M1S,225
M1T,194
M1V,234
M1W,269
M1X,51
M2H,179
M2J,292
M2K,119
M2L,112
M2M,270
M2N,629
M2P,103
M2R,378
M2T,1
M3A,323
M3B,160
M3C,258
M3H,291
M3J,159
M3K,68
M3L,78
M3M,163
M3N,129
M4A,101
M4B,294
M4C,762
M4E,497
M4G,361
M4H,70
M4J,780
M4K,565
M4L,666
M4M,316
M4N,188
M4P,296
M4R,227
M4S,442
M4T,149
M4V,243
M4W,159
M4X,192
M4Y,189
M5A,266
M5B,64
M5C,16
M5E,35
M5G,26
M5H,5
M5J,68
M5K,1
M5M,386
M5N,191
M5P,194
M5R,304
M5S,139
M5T,105
M5V,248
M5W,1
M6A,119
M6B,178
M6C,336
M6E,503
M6G,604
M6H,679
M6J,341
M6K,386
M6L,150
M6M,360
M6N,560
M6P,689
M6R,579
M6S,677
M8V,570
M8W,508
M8X,178
M8Y,349
M8Z,365
M9A,465
M9B,568
M9C,597
M9L,77
M9M,135
M9N,234
M9P,217
M9R,281
M9V,292
M9W,357
