forward_sorting_area,licenses_issued
M1B,783
M1C,1149
M1E,1247
M1G,556
M1H,431
M1J,463
M1K,710
M1L,585
M1M,769
M1N,991
M1P,630
M1R,649
M1S,543
M1T,456
M1V,670
M1W,575
M1X,152
M2H,423
M2J,696
M2K,430
M2L,482
M2M,550
M2N,1246
M2P,351
M2R,651
M3A,703
M3B,429
M3C,370
M3H,756
M3J,245
M3K,125
M3L,265
M3M,338
M3N,227
M4A,225
M4B,506
M4C,1325
M4E,1323
M4G,895
M4H,68
M4J,1207
M4K,1049
M4L,1508
M4M,781
M4N,763
M4P,559
M4R,493
M4S,961
M4T,512
M4V,728
M4W,651
M4X,418
M4Y,529
M5A,707
M5B,162
M5C,61
M5E,92
M5G,41
M5J,141
M5M,1146
M5N,541
M5P,734
M5R,711
M5S,221
M5T,207
M5V,714
M6A,229
M6B,476
M6C,731
M6E,955
M6G,806
M6H,1026
M6J,739
M6K,622
M6L,355
M6M,667
M6N,1081
M6P,1185
M6R,780
M6S,1221
M8V,1127
M8W,936
M8X,448
M8Y,766
M8Z,611
M9A,1157
M9B,1124
M9C,1143
M9L,144
M9M,321
M9N,460
M9P,510
M9R,611
M9V,559
M9W,785
